pickup_date,trip_volume,avg_fare,avg_distance,avg_tip,trip_volume_7day_avg
2024-07-01,75316,20.880543310850285,3.9896566466620635,3.575616867597854,
2024-07-02,78856,19.335447017348077,3.487956021101755,3.3339564522674237,
2024-07-03,71675,19.530695500523198,3.5778306243460065,3.3148817579351237,
2024-07-04,50853,20.539681238078384,4.00891078205809,3.288238058718266,
2024-07-05,65368,19.6956660751438,3.73142684493942,3.1768053175865867,
2024-07-06,68132,20.830110227206013,3.9724239711148948,3.4686247284682676,
2024-07-07,67753,22.81481794164096,4.639437663276903,3.9085309875577465,68279.0
2024-07-08,82502,21.279340622045524,4.038952146614627,3.787145402535696,69305.57142857143
2024-07-09,97845,19.88218784812714,3.4300933108487914,3.6345246052429863,72018.28571428571
2024-07-10,103932,19.346659835276913,3.251680137012662,3.5607117153523458,76626.42857142857
2024-07-11,101698,20.406516352337313,3.4786309465279555,3.735981140238746,83890.0
2024-07-12,89552,19.587980391281043,3.49828702876541,3.4888800920135785,87344.85714285714
2024-07-13,85740,19.334222999766737,3.478130627478423,3.360304525309074,89860.28571428571
2024-07-14,75857,21.114646242271643,4.155928259751901,3.716875304849915,91018.0
2024-07-15,87489,20.94705002914652,3.921916812399273,3.757416932414361,91730.42857142857
2024-07-16,106201,19.456861611472583,3.2798541444995806,3.6196395514166535,92924.14285714286
2024-07-17,106448,19.015264918082067,3.145857132120848,3.582698312791222,93283.57142857143
2024-07-18,102650,20.917955577204093,3.6307666829030687,3.8461164150024354,93419.57142857143
2024-07-19,89571,20.239762199819136,3.68397628696788,3.613338468924094,93422.28571428571
2024-07-20,87038,19.683905190836185,3.583554079827202,3.3883560054229185,93607.71428571429
2024-07-21,76567,21.371398383115444,4.205717084383612,3.6604530672482922,93709.14285714286
2024-07-22,83066,20.54576673970096,3.855251366383358,3.656382153949871,93077.28571428571
2024-07-23,95529,20.10737796899371,3.4819379455453316,3.668043316689173,91552.71428571429
2024-07-24,99030,19.788096031505603,3.416167323033424,3.6675284257295773,90493.0
2024-07-25,100149,20.60783322848955,3.560246632517549,3.7588039820667207,90135.71428571429
2024-07-26,88803,19.965081134646354,3.6010166323209805,3.5403991982252854,90026.0
2024-07-27,85560,19.32784396914446,3.481119331463301,3.3293742402992055,89814.85714285714
2024-07-28,75365,21.19473017979168,4.14327300471041,3.6677888940489614,89643.14285714286
2024-07-29,80316,20.280348747447583,3.8380442253100253,3.619634070421834,89250.28571428571
2024-07-30,94437,19.065184408653387,3.271681544309963,3.5020768342916444,89094.28571428571
2024-07-31,98283,19.423879612954426,3.319773714681074,3.583427042316576,88987.57142857143
2024-08-01,101649,19.620831291995,3.3998767326781376,3.6038980216234298,89201.85714285714
2024-08-02,92178,19.260074095771227,3.4196575104688756,3.426804009633535,89684.0
2024-08-03,86462,19.45107943373968,3.3987896416923045,3.357733223844001,89812.85714285714
2024-08-04,73848,21.617698922110282,4.230866509587261,3.6985992850178744,89596.14285714286
2024-08-05,83574,20.65023428338957,3.906849259339029,3.6600654509775765,90061.57142857143
2024-08-06,97515,19.087802902117623,3.1974570066143673,3.4620430702968776,90501.28571428571
2024-08-07,97011,20.329957015183844,3.5065175083237987,3.6944474337961672,90319.57142857143
2024-08-08,94530,20.066254628160372,3.413286575690257,3.652319475298847,89302.57142857143
2024-08-09,81052,19.684260474756947,3.602934042343187,3.482027710605537,87713.14285714286
2024-08-10,79684,19.824317303348224,3.5640545153355756,3.358565333065609,86744.85714285714
2024-08-11,66960,22.752631869772998,4.356593637992832,3.8804599761051373,85760.85714285714
2024-08-12,73189,20.79405498093976,3.9600662667887248,3.6317799122819006,84277.28571428571
2024-08-13,83421,19.430547583941692,3.511876985411347,3.4952540727155035,82263.85714285714
2024-08-14,90388,19.39371741824136,3.425935411780325,3.5041980130105768,81317.71428571429
