pickup_day,trip_volume,avg_fare,avg_distance,avg_tip
Monday,1157028,21.21962081297946,3.978118645356897,3.7900424968107944
Tuesday,1222819,20.01055436659064,3.458000284588316,3.6514483091937566
Wednesday,1269043,19.923272686583513,3.410132942697765,3.6747388859163954
Thursday,1274086,20.56563637776414,3.539120224223483,3.7639291774652572
Friday,1180117,20.061203948422065,3.5795895745930273,3.5896353242941164
Saturday,1156760,19.658926121235172,3.4715139527646186,3.4080575659600956
Sunday,1015820,21.62551886160934,4.174692888503869,3.7747182374830186
