pickup_hour,trip_volume,avg_fare,avg_distance,avg_tip
0,222858,21.76312696874243,4.426202290247601,3.8466869935115633
1,145628,19.82035810421073,3.9739258247040405,3.4000151756530337
2,96743,17.82812286160239,3.4624565084812335,3.057560857116277
3,60499,18.304185193143688,3.5970050744640405,3.0375662407643103
4,38829,24.384221844497667,5.148389605707075,3.718007674676144
5,47224,28.48598403354227,6.385841733017109,4.253811197696087
6,112824,23.100507604764942,4.971642026519181,3.475493246117847
7,211883,20.032625316802196,3.904036992113572,3.3382338365985
8,301720,19.255524890627072,3.3914411706217686,3.343734190640329
9,349897,19.145229424659256,3.233971597355793,3.3231312929233456
10,387134,19.414263226686366,3.246631708917326,3.345201299808335
11,421403,19.891995239711154,3.301812754062026,3.4064559103755787
12,456534,20.303029719582767,3.402557137036891,3.4909726767338247
13,478421,20.85822332213678,3.561063770194034,3.6276303506744063
14,508774,21.60904517526446,3.7333397736519554,3.737314583685487
15,520678,21.64350083929031,3.724315046919593,3.7301829153526747
16,529743,21.86011058192369,3.773360837236169,4.01967489896044
17,572029,20.434357418942046,3.435328051549834,3.844580519519115
18,593017,19.124229592069028,3.244105261737859,3.708323184664183
19,526411,19.147636238604438,3.3963559842024575,3.7090751713015115
20,477748,19.623132990614298,3.6303193105988933,3.7262800890846224
21,475598,19.754472684914568,3.6939784019276782,3.789107145109946
22,421246,20.629262307535267,3.9271736467527285,3.869840235871676
23,318832,22.299363112861947,4.4585331459828375,4.007467757314196
